source_id,source,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name
13707,Species+,Plantae,,,Orchidales,Orchidaceae,Dendrobium,arcuatum
13709,Species+,Plantae,,,Cyatheales,Cyatheaceae,Alsophila,corcovadensis
13710,Species+,Plantae,,,Orchidales,Orchidaceae,Diaphananthe,acuta
13711,Species+,Plantae,,,Orchidales,Orchidaceae,Acianthus,exiguus
13712,Species+,Plantae,,,Orchidales,Orchidaceae,Specklinia,microphylla
13713,Species+,Plantae,,,Orchidales,Orchidaceae,Trias,pusilla
13714,Species+,Plantae,,,Liliales,Liliaceae,Aloe,ibitiensis
13715,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,botryophorum
13716,Species+,Plantae,,,Orchidales,Orchidaceae,Prasophyllum,firthii
13717,Species+,Plantae,,,Caryophyllales,Cactaceae,Micranthocereus,streckeri
13719,Species+,Plantae,,,Orchidales,Orchidaceae,Bifrenaria,mellicolor
13720,Species+,Plantae,,,Cyatheales,Cyatheaceae,Alsophila,rupestris
13721,Species+,Plantae,,,Caryophyllales,Cactaceae,Hatiora,rosea
13722,Species+,Plantae,,,Orchidales,Orchidaceae,Angraecum,viguieri
13723,Species+,Plantae,,,Orchidales,Orchidaceae,Encyclia,chiapasensis
13724,Species+,Plantae,,,Orchidales,Orchidaceae,Catasetum,semicirculatum
13725,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,evasum
13726,Species+,Plantae,,,Orchidales,Orchidaceae,Lepanthes,polytricha
13727,Species+,Plantae,,,Liliales,Liliaceae,Aloe,sinkatana
13728,Species+,Plantae,,,Nepenthales,Nepenthaceae,Nepenthes,veitchii
13729,Species+,Plantae,,,Caryophyllales,Cactaceae,Mammillaria,carnea
13730,Species+,Plantae,,,Caryophyllales,Cactaceae,Pereskia,stenantha
13731,Species+,Plantae,,,Orchidales,Orchidaceae,Zygostates,aderaldoana
13732,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,ventriosum
13733,Species+,Plantae,,,Orchidales,Orchidaceae,Habenaria,loerzingii
13734,Species+,Plantae,,,Orchidales,Orchidaceae,Malaxis,ehrenbergii
13735,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,clemensiae
13736,Species+,Plantae,,,Sapindales,Rutaceae,Boronia,keysii
13737,Species+,Plantae,,,Orchidales,Orchidaceae,Epidendrum,nutantirhachis
13738,Species+,Plantae,,,Orchidales,Orchidaceae,Chondrorhyncha,anatona
13739,Species+,Plantae,,,Orchidales,Orchidaceae,Bulbophyllum,microtepalum
13740,Species+,Plantae,,,Orchidales,Orchidaceae,Arachnis,grandisepala
13741,Species+,Plantae,,,Orchidales,Orchidaceae,Restrepia,schizosepala
13742,Species+,Plantae,,,Orchidales,Orchidaceae,Corallorrhiza,ehrenbergii
13743,Species+,Plantae,,,Cyatheales,Cyatheaceae,Cyathea,marginalis
13744,Species+,Plantae,,,Orchidales,Orchidaceae,Scaphosepalum,beluosum
13745,Species+,Plantae,,,Orchidales,Orchidaceae,Catasetum,spinosum
13746,Species+,Plantae,,,Orchidales,Orchidaceae,Epidendrum,microcardium
13747,Species+,Plantae,,,Orchidales,Orchidaceae,Chondrorhyncha,hirtzii
