GBIF Taxon key,GBIF scientific name,rank,kingdom_name,provided species name,speciesplusID
2259019,"Labyrinthocyathus delicatus (Marenzeller, 1904)",SPECIES,Animalia,Labyrinthocyathus delicatus,3021
2480673,"Spizaetus nipalensis (Hodgson, 1836)",SPECIES,Animalia,Spizaetus nipalensis,3022
5184546,"Turbinaria frondens (Dana, 1846)",SPECIES,Animalia,Turbinaria frondens,3023
5707306,"Chiropotes utahickae Hershkovitz, 1985",SPECIES,Animalia,Chiropotes utahickae,3024
2435419,"Antechinomys laniger (Gould, 1856)",SPECIES,Animalia,Antechinomys laniger,3026
2260104,"Barabattoia amicorum (Edwards & Haime, 1850)",SPECIES,Animalia,Barabattoia amicorum,3028
2433470,"Arctocephalus philippii (Peters, 1866)",SPECIES,Animalia,Arctocephalus philippii,3029
5184782,"Porites stephensoni Crossland, 1952",SPECIES,Animalia,Porites stephensoni,3030
2449133,"Chamaeleo calyptratus DumÌöril & DumÌöril, 1851",SPECIES,Animalia,Chamaeleo calyptratus,3031
1,Animalia,KINGDOM,Animalia,Acropora valimunensis,3034
5184770,"Porites australiensis Vaughan, 1918",SPECIES,Animalia,Porites australiensis,3035
2441119,"Ovis canadensis Shaw, 1804",SPECIES,Animalia,Ovis canadensis,3036
2259975,"Montipora nodosa (Dana, 1846)",SPECIES,Animalia,Montipora nodosa,3037
2265551,"Distichopora livida Tenison-Woods, 1880",SPECIES,Animalia,Distichopora livida,3038
2259261,"Rhizosmilia sagamiensis (Eguchi, 1968)",SPECIES,Animalia,Rhizosmilia sagamiensis,3039
2476869,"Metallura baroni Salvin, 1893",SPECIES,Animalia,Metallura baroni,3041
2260150,"Goniastrea palauensis (Yabe, Sugiyama & Eguchi, 1936)",SPECIES,Animalia,Goniastrea palauensis,3042
2470771,"Varanus auffenbergi Sprackland, 1999",SPECIES,Animalia,Varanus auffenbergi,3044
2260627,"Fungia fungites (Linnaeus, 1758)",SPECIES,Animalia,Fungia fungites,3046
5184559,"Astreopora explanata Veron, 1985",SPECIES,Animalia,Astreopora explanata,3047
