id,vernacularName,language,locality
953,cafezinho,PORTUGUES,Maranhão
961,cocão-coringa,PORTUGUES,Norte
964,osso-de-porco,PORTUGUES,ES
1008,mameluco,PORTUGUES,Ceará; Fernandes et al. s.n.; EAC
1008,manacá,PORTUGUES,Ceará; Couceiro & Cordeiro s.n.; IPA
1008,sete-cascos,PORTUGUES,Pernambuco; Carvalho 39
1010,surucucumirá,PORTUGUES,Amazônia
1017,surucucumirá,PORTUGUES,
1021,quina negra,PORTUGUES,Venezuela
1023,manacá,PORTUGUES,Mato Grosso
1023,manacá-do-cerrado,PORTUGUES,Centro-Oeste
1025,ingá-da-mata; laranjinha,PORTUGUES,Maranhão
1025,mamuri bali,INGLES,Guiana
1025,pariguanilla,ESPANHOL,Peru
1042,guararupuangi,PORTUGUES,Acre
1048,pirarara branca,PORTUGUES,Acre
1068,laranjeira-brava,PORTUGUES,Bahia
1068,laranjeira-do-mato,PORTUGUES,Minas Gerais
1068,tinguaciba,PORTUGUES,Rio de Janeiro
1075,limãozinho,PORTUGUES,Acre
1075,limãozinho amarelo,PORTUGUES,Acre
1075,tamanqueira,PORTUGUES,Mato Grosso
1081,arruda,PORTUGUES,Paraná
1081,cera cozida,PORTUGUES,Mato Grosso do Sul
1081,espinheiro-preto,PORTUGUES,Ceará
1081,limãozinho preto,PORTUGUES,Ceará
1081,maminha preta,PORTUGUES,Mato Grosso do Sul
1081,mamiqueira-fedorenta,PORTUGUES,São Paulo
1081,pau-de-barrão,PORTUGUES,Nordeste
1081,tabatinga,PORTUGUES,Rio de Janeiro
1081,tamanqueira,PORTUGUES,Pará
1092,assacurana,PORTUGUES,Amazonas
1092,limãorana,PORTUGUES,Amazonas
1092,limãozinho,PORTUGUES,Acre e Amazonas
1092,tamanqueira,PORTUGUES,Amazonas e Pará
1100,limãozinho,PORTUGUES,Acre; Rondônia
1100,mama-de-porca,PORTUGUES,Pará
1100,tamanqueira,PORTUGUES,Pará
1100,tamanqueira-amarela,PORTUGUES,Pará
1104,arruda-amarela,PORTUGUES,São Paulo
1104,coentrilho,PORTUGUES,Santa Catarina
1104,mamica-de-cadela,PORTUGUES,sul do Brasil
1104,mamica-de-porca,PORTUGUES,sul do Brasil
1104,mamica-de-porca branca,PORTUGUES,São Paulo
1108,coentrilho,PORTUGUES,Sul
1108,mamica-de-cadela; mamica-de-porca,PORTUGUES,Sudeste e Sul
1114,catuaba-de-espinho,PORTUGUES,Maranhão
1114,laranjinha,PORTUGUES,Ceará
1114,quebra-faca,PORTUGUES,Ceará
1114,tinguaciba,PORTUGUES,Ceará
1116,ardente,PORTUGUES,Bahia
1116,laranjinha,PORTUGUES,Ceará
1116,limãozinho,PORTUGUES,Ceará
1118,maruparana,PORTUGUES,Amazonas
1118,tamanqueira-de-terra firme,PORTUGUES,Pará
1124,juvevê,PORTUGUES,Sul
1124,tembetari,PORTUGUES,Sul
1133,laranjeira-do-mato,PORTUGUES,Rio de Janeiro
1133,limão-bravo,PORTUGUES,Bahia; Rio de Janeiro
1133,limãozinho,PORTUGUES,Alagoas; Pernambuco; Rio de Janeiro
1133,limeirinha,PORTUGUES,Pará; M.F.F. Silva et al. 1573
1133,maminha-de-porca,PORTUGUES,Minas Gerais e São Paulo
1133,tinguaciba-da-restinga,PORTUGUES,Rio de Janeiro
1135,limãozinho; limão-bravo,PORTUGUES,Nordeste
1135,maminha-de-porca,PORTUGUES,Sudeste
1136,limeirinha; pau-limão,PORTUGUES,Pará
1139,espinho-cheiroso,PORTUGUES,Bahia
1147,tamanqueira-de-espinho.,PORTUGUES,Norte
1150,catuaba,PORTUGUES,Norte
1150,laranjinha,PORTUGUES,Norte
1150,limãozinho,PORTUGUES,Acre
1152,catinga-de-bode,PORTUGUES,Minas Gerais
1152,laranjeira-do-mato,PORTUGUES,Minas Gerais
1152,laranjinha,PORTUGUES,Pernambuco
1152,limão-bravo,PORTUGUES,Bahia; Minas Gerais; Paraíba; Pernambuco
1152,limãozinho,PORTUGUES,Bahia; Minas Gerais; Paraíba; Pernambuco
1152,mamica-de-porca,PORTUGUES,Paraná
1152,pau-barrão,PORTUGUES,Pernambuco
1152,tembetaru,PORTUGUES,Rio de Janeiro
1161,laranjeira,PORTUGUES,Sudeste
1161,laranjeira-brava,PORTUGUES,Sudeste
1161,tinguaciba,PORTUGUES,Sudeste
1162,carne-de-anta,PORTUGUES,Amazônia
1162,espinho-de-vintém,PORTUGUES,Sudeste e Sul
1162,juva,PORTUGUES,Sul
1162,juvevê,PORTUGUES,Sul
1162,laranjeira-brava,PORTUGUES,Nordeste
1162,laranjinha,PORTUGUES,Nordeste
1162,limãozinho,PORTUGUES,Nordeste
1162,mamica-de-cadela,PORTUGUES,Sudeste e Sul
1162,mamica-de-porca,PORTUGUES,Sudeste e Sul
1162,pau-de-cachorro,PORTUGUES,Rio Grande do Sul
1162,tamanqueira-de-espinho,PORTUGUES,Amazônia
1162,tamanqueira-limão,PORTUGUES,Amazônia
1162,tamanqueiro(a),PORTUGUES,Sudeste e Sul
1162,tambatarão,PORTUGUES,Sudeste e Sul
1162,tembetaru,PORTUGUES,Sudeste e Sul
1162,teta-de-cadela,PORTUGUES,Sudeste e Sul
1162,tinguaciba,PORTUGUES,Sudeste e Sul
1169,laranjeira-brava,PORTUGUES,São Paulo
1169,limãozinho,PORTUGUES,Acre; Rondônia
1169,limãozinho branco,PORTUGUES,Acre
1169,mama-de-porca,PORTUGUES,Goiás; DF; Mato Grosso do Sul; São Paulo
1169,mamicão,PORTUGUES,São Paulo
1169,mamonilha-de-porca,PORTUGUES,Goiás
1169,tamanquaré,PORTUGUES,Mato Grosso
1174,mamica-de-porca,PORTUGUES,Mato Grosso do Sul
1174,maminha-de-porca,PORTUGUES,Mato Grosso do Sul
1175,mamica-de-porca,PORTUGUES,Centro-Oeste
1175,maminha-de-porca,PORTUGUES,Centro-Oeste
1181,limãozinho,PORTUGUES,Acre
1181,limãozinho preto,PORTUGUES,Acre
1181,limãozinho-preto,PORTUGUES,Acre
1182,laranjeira-brava,PORTUGUES,Bahia
1182,laranjinha,PORTUGUES,Piauí
1182,limãozinho,PORTUGUES,Ceará
1184,espinho-de-barrão,PORTUGUES,Pernambuco
1184,limãozinho,PORTUGUES,Ceará; Paraíba
1186,laranjeira,PORTUGUES,Bahia
1301,pau-amargo,PORTUGUES,Sudeste e Sul
1301,pau-tenente; tenente-josé,PORTUGUES,Sudeste
1307,caferana,PORTUGUES,Norte
1334,manga-de-anta,PORTUGUES,Acre
1334,paratudo; pratudo,PORTUGUES,Norte e Nordeste
1334,pau-para-tudo,PORTUGUES,Norte
1336,caixeta-preta,PORTUGUES,Sudeste
1336,paratudo,PORTUGUES,Bahia
1344,caixeta-preta,PORTUGUES,Sudeste
1344,paratudo,PORTUGUES,Bahia
1346,marupá do cerrado,PORTUGUES,Mato Grosso
1346,mata-barata branco,PORTUGUES,Minas Gerais
1349,cajurana,PORTUGUES,Norte
1352,cajurana,PORTUGUES,Norte
1357,calunga,PORTUGUES,Sudeste
1357,paraíba-mirim,PORTUGUES,Sudeste
1368,marupá,PORTUGUES,Acre
1369,marupá,PORTUGUES,Norte
1370,calunga-grande,PORTUGUES,Goiás
1371,marupazinho,PORTUGUES,Norte
1371,serve-para-tudo,PORTUGUES,Norte
1376,casca-para-tudo,PORTUGUES,Minas Gerais
1377,calunga,PORTUGUES,Centro-Oeste
1377,mata-cachorro-do-chão,PORTUGUES,Centro-Oeste
1379,mata-barata,PORTUGUES,Minas Gerais
1381,amarelinho,PORTUGUES,Acre
1381,marupá,PORTUGUES,Norte
1381,marupá preto,PORTUGUES,Acre
1394,mata-cachorro,PORTUGUES,Sudeste e Nordeste
1394,paraíba,PORTUGUES,Nordeste
1412,Rabo-de-raposa,PORTUGUES,Nordeste do Brasil
1415,Rabo-de-raposa,PORTUGUES,Nordeste do Brasil
1416,Rabo-de-raposa; Rabo-de-onça,PORTUGUES,Nordeste do Brasil
1419,Sabugo-do-capeta,PORTUGUES,Nordeste do Brasil
1430,Urumbeba; Rumbeba; Cumbeba; Mumbeca; Mumbebo; Facho-de-renda; Palmatória grande; Palmatória-do-diabo; Ambeba; Arumbeva; Gerumbeba; Jurubeba; Palmadora; Palmatória; Xiquexique-do-sertão.,PORTUGUES,Nordeste do Brasil
1440,Cardo-ananá; Cardo-de-praia; Cardo-vinagre; Figueira-do-inferno,PORTUGUES,Região Nordeste do Brasil
1447,Mandacaru; Mandacaru-de-boi; Mandacaru-facheiro; Mandacaru-de-faixo; Cardeiro; Jamacaru; Jamaracurú; Jumucurú; Jumarucú; Cumbeba; Urumbeba,PORTUGUES,Nordeste do Brasil
1463,Quiabo-da-lapa,PORTUGUES,Região Sudeste do Brasil
1466,Rabo-de-raposa; Quiabo-da-lapa; Quiabo-do-inferno,PORTUGUES,Região Sudeste do Brasil
1472,Mandacaru-de-topete; Facheiro-das-pedras,PORTUGUES,Sudeste do Brasil
1483,Frade-de-cavalo,PORTUGUES,Nordeste do Brasil
1512,pitainha,PORTUGUES,Minas Gerais
1518,Facheiro-preto; Xique-xique-preto,PORTUGUES,Nordeste do Brasil
1519,Facheiro-da-serra; Xique-xique-amarelo,PORTUGUES,Nordeste do Brasil
1520,Facheiro; Facheiro-preto,PORTUGUES,Nordeste do Brasil
1521,Facheiro-preto,PORTUGUES,Nordeste do Brasil
1540,Rabo-de-raposa; Passa-prá-lá,PORTUGUES,Nordeste do Brasil
