id,locality,countryCode,establishmentMeans,occurrenceRemarks
5182,Rio Grande do Sul,BR,NATIVA,
116746,Rio Grande do Sul;Amazonas;São Paulo;Rio de Janeiro;Distrito Federal;Ceará;Paraná;Mato Grosso do Sul,BR,NATIVA,
107990,Espírito Santo;São Paulo,BR,NATIVA,
87003,Rio Grande do Sul;Mato Grosso do Sul,BR,NATIVA,
118448,São Paulo;Maranhão,BR,NATIVA,
105143,Santa Catarina;Paraná,BR,NATIVA,
122845,São Paulo,BR,NATIVA,
99754,Rio de Janeiro;Santa Catarina;São Paulo,BR,NATURALIZADA,
126192,Amazonas,BR,NATIVA,
98229,São Paulo;Paraná;Pernambuco,BR,NATIVA,
5470,Rio Grande do Sul;Santa Catarina,BR,NATIVA,
10090,Espírito Santo;Rio de Janeiro,BR,NATIVA,
83301,Acre;Goiás;Rondônia;Roraima;Tocantins;Pará;Amazonas;Mato Grosso,BR,NATIVA,
35314,Rio de Janeiro,BR,NATIVA,
105490,Minas Gerais;Goiás;Santa Catarina,BR,NATURALIZADA,
29779,Pará;Roraima;Amapá;Amazonas;Acre;Mato Grosso;Maranhão,BR,NATIVA,
106296,Distrito Federal;São Paulo;Rio de Janeiro;Minas Gerais;Santa Catarina;Mato Grosso;Mato Grosso do Sul;Goiás,BR,NATURALIZADA,
122846,São Paulo,BR,NATIVA,
119826,São Paulo,BR,NATIVA,
119832,São Paulo,BR,NATIVA,
13484,São Paulo;Goiás;Amazonas;Amapá;Pará;Roraima;Tocantins;Alagoas;Bahia;Ceará;Maranhão;Paraíba;Pernambuco;Rio Grande do Norte;Rio Grande do Sul;Santa Catarina;Espírito Santo;Minas Gerais;Rio de Janeiro,BR,NATIVA,
119835,São Paulo;Amazonas;Ceará,BR,NATIVA,
108132,Goiás;Rio de Janeiro;São Paulo;Amazonas,BR,NATIVA,
108038,Rio Grande do Sul;São Paulo;Rio de Janeiro;Espírito Santo;Paraná;Amazonas;Mato Grosso;Distrito Federal,BR,NATIVA,
137451,Pernambuco,BR,,
115078,Espírito Santo;Bahia,BR,NATIVA,
116963,Bahia;Espírito Santo;Pernambuco,BR,NATIVA,
100436,Rio de Janeiro;Paraíba;São Paulo,BR,CULTIVADA,
115840,,,,NAO_OCORoraimaE_BRASIL
127930,Rio Grande do Sul,BR,NATIVA,
108040,São Paulo;Ceará;Rio de Janeiro;Espírito Santo,BR,NATIVA,
5505,Paraná;Rio Grande do Sul;Santa Catarina,BR,NATIVA,
14634,Minas Gerais;São Paulo;Rio de Janeiro,BR,NATIVA,
12867,Rondônia;São Paulo;Goiás;Espírito Santo;Rio de Janeiro;Santa Catarina;Minas Gerais;Paraná,BR,NATIVA,
119975,São Paulo;Amazonas,BR,NATIVA,
124251,Rio Grande do Sul;Minas Gerais;Goiás;São Paulo,BR,NATIVA,
99048,Espírito Santo;Santa Catarina;Paraná,BR,NATIVA,
13057,Rio de Janeiro;São Paulo;Rio Grande do Sul;Santa Catarina,BR,NATIVA,
93990,São Paulo,BR,,
79981,Maranhão;Paraná;Pará;São Paulo;Bahia;Rio de Janeiro,BR,NATURALIZADA,
121033,Bahia;São Paulo,BR,NATIVA,
126157,Goiás,BR,NATIVA,
121036,Bahia;São Paulo,BR,NATIVA,
101795,São Paulo;Amazonas;Piauí,BR,,
101864,Amazonas;Piauí;São Paulo;Pernambuco,BR,,
94879,Piauí;Pernambuco;São Paulo,BR,,
26308,,,,NAO_OCORoraimaE_BRASIL
24873,Amazonas;Rondônia;Pará;Acre,BR,NATIVA,
80011,Santa Catarina;Rio Grande do Sul;São Paulo;Paraná,BR,NATURALIZADA,
25097,Espírito Santo;Rio de Janeiro;Minas Gerais;Amapá;Amazonas;Rondônia;Acre;Roraima;Mato Grosso;Mato Grosso do Sul;Goiás;Tocantins;Distrito Federal;Alagoas;Bahia;Ceará;Maranhão;Paraíba;Pernambuco;Piauí;Rio Grande do Norte;Sergipe;Paraná;Rio Grande do Sul;Santa Catarina;Pará;São Paulo,BR,NATURALIZADA,
125715,São Paulo;Ceará;Rio de Janeiro;Santa Catarina,BR,NATIVA,
5532,Goiás;Distrito Federal;Mato Grosso do Sul;Bahia;Ceará;Pernambuco;Paraná;Espírito Santo;Minas Gerais;Rio de Janeiro;São Paulo,BR,NATIVA,
99067,Pernambuco;Santa Catarina;Maranhão;Ceará;São Paulo;Espírito Santo;Rio de Janeiro;Bahia;Paraná;Rio Grande do Norte;Paraíba,BR,NATIVA,
93999,Amazonas;Pará,BR,,
33562,,,,NAO_OCORoraimaE_BRASIL
33564,,,,NAO_OCORoraimaE_BRASIL
126068,Rio de Janeiro;Pernambuco;Ceará;Paraná;Bahia;Mato Grosso do Sul;Espírito Santo;Minas Gerais;Goiás;Distrito Federal;São Paulo,BR,NATIVA,
116471,,,,NAO_OCORoraimaE_BRASIL
94888,Minas Gerais;São Paulo;Rio de Janeiro;Pernambuco;Piauí,BR,,
137452,Pernambuco,BR,,
103086,,,,NAO_OCORoraimaE_BRASIL
80234,,,,NAO_OCORoraimaE_BRASIL
124442,Rio Grande do Sul,BR,NATIVA,
33345,Bahia,BR,NATIVA,
29474,Mato Grosso,BR,NATIVA,
20469,Bahia;Minas Gerais;Tocantins;Maranhão;Mato Grosso,BR,NATIVA,
80256,Rio de Janeiro;Paraná;Santa Catarina;Rio Grande do Sul;Espírito Santo;Minas Gerais;São Paulo;Goiás;Mato Grosso do Sul;Mato Grosso;Distrito Federal;Sergipe;Rio Grande do Norte;Piauí;Pernambuco;Paraíba;Maranhão;Ceará;Bahia;Alagoas;Tocantins;Rondônia;Pará;Amazonas,BR,CULTIVADA,
127554,Rio de Janeiro,BR,NATIVA,
103087,Paraná;Santa Catarina;Rio Grande do Sul,BR,NATURALIZADA,
103089,,,,NAO_OCORoraimaE_BRASIL
103088,Santa Catarina;Rio Grande do Sul,BR,NATURALIZADA,
1751,Minas Gerais,BR,NATIVA,
21886,Santa Catarina;Rio Grande do Sul;Paraná,BR,NATURALIZADA,
33347,Minas Gerais;Bahia,BR,NATIVA,
33348,Minas Gerais;Espírito Santo;Bahia,BR,NATIVA,
21595,Goiás;Minas Gerais,BR,NATIVA,
111826,Rio Grande do Sul;Santa Catarina,BR,NATURALIZADA,
103611,Amazonas,BR,NATIVA,
33873,,,,NAO_OCORoraimaE_BRASIL
42338,,,,NAO_OCORoraimaE_BRASIL
80432,,,,NAO_OCORoraimaE_BRASIL
108485,,,,NAO_OCORoraimaE_BRASIL
108484,,,,NAO_OCORoraimaE_BRASIL
4812,Pernambuco;Bahia;Alagoas;Mato Grosso;Goiás;Rio de Janeiro;Distrito Federal;Santa Catarina;Rio Grande do Sul;Paraná;Rio Grande do Norte;São Paulo;Espírito Santo;Minas Gerais,BR,NATURALIZADA,
33698,,,,NAO_OCORoraimaE_BRASIL
104792,Sergipe;São Paulo;Rio de Janeiro;Minas Gerais;Santa Catarina;Paraná;Paraíba;Bahia;Goiás,BR,NATURALIZADA,
80342,Bahia;Pará;Piauí;Rio Grande do Norte;Mato Grosso do Sul,BR,NATURALIZADA,
80343,Bahia;Maranhão;Ceará;Pernambuco,BR,NATURALIZADA,
19886,Rondônia;Pará;Roraima;Acre;Mato Grosso;Amazonas,BR,NATIVA,
80681,,,,NAO_OCORoraimaE_BRASIL
15960,,,,NAO_OCORoraimaE_BRASIL
15961,Bahia;Rio de Janeiro;Alagoas;Santa Catarina;Amapá;Goiás;Piauí;Amazonas;São Paulo;Rio Grande do Norte;Distrito Federal;Mato Grosso do Sul;Sergipe;Paraná;Roraima;Minas Gerais;Tocantins;Mato Grosso;Rio Grande do Sul;Rondônia;Acre;Pernambuco;Paraíba;Pará;Maranhão;Ceará;Espírito Santo,BR,NATURALIZADA,
22138,Bahia;Espírito Santo;Rio Grande do Norte;Pernambuco,BR,NATURALIZADA,
80541,Espírito Santo;Sergipe;Rio Grande do Norte;São Paulo;Piauí;Pará;Alagoas;Bahia;Ceará;Maranhão;Paraíba;Pernambuco;Rio de Janeiro,BR,NATIVA,
102493,,,,NAO_OCORoraimaE_BRASIL
80525,Rio de Janeiro;Santa Catarina;Paraná;São Paulo,BR,NATURALIZADA,
5081,,,,NAO_OCORoraimaE_BRASIL
15646,,,,NAO_OCORoraimaE_BRASIL
112267,Santa Catarina;Rio Grande do Sul;Paraná,BR,NATURALIZADA,
112205,Rio Grande do Sul;Santa Catarina,BR,NATURALIZADA,
15953,,,,NAO_OCORoraimaE_BRASIL
112117,,,,NAO_OCORoraimaE_BRASIL
112119,,,,NAO_OCORoraimaE_BRASIL
112121,,,,NAO_OCORoraimaE_BRASIL
5514,Mato Grosso do Sul;Espírito Santo;Santa Catarina;Rio Grande do Sul;Goiás;Bahia;Rio de Janeiro;Paraná;São Paulo;Minas Gerais;Paraíba;Distrito Federal,BR,NATIVA,
39813,Minas Gerais;Rio de Janeiro,BR,NATIVA,
112084,,,,NAO_OCORoraimaE_BRASIL
80638,,,,NAO_OCORoraimaE_BRASIL
112092,,,,NAO_OCORoraimaE_BRASIL
