id,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,name_status,cites_listing,cites_listing_original
3141,Animalia,Chordata,Reptilia,Sauria,Gekkonidae,Naultinus,poecilochlorus,A,II,II
3142,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Systemapora,ornata,A,II,II
3144,Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,savignii,A,II,II
3145,Animalia,Chordata,Aves,Columbiformes,Columbidae,Alectroenas,madagascariensis,A,NC,NC
3146,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,longicyathus,A,II,II
3149,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,brachyurus,A,II,II
3150,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Leptoseris,incrustans,A,II,II
3151,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Calumma,boettgeri,A,II,II
3153,Animalia,Cnidaria,Anthozoa,Scleractinia,Turbinoliidae,Foveolocyathus,alternans,A,II,II
3154,Animalia,Chordata,Reptilia,Sauria,Varanidae,Varanus,yuwonoi,A,II,II
3156,Animalia,Cnidaria,Anthozoa,Scleractinia,Pectiniidae,Echinophyllia,maxima,A,II,II
3157,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,orientalis,A,II,II
3158,Animalia,Chordata,Aves,Passeriformes,Ploceidae,Malimbus,cassini,A,NC,NC
3159,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,colemani,A,II,II
3160,Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Leptastrea,inaequalis,A,II,II
3161,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Colophon,cameroni,A,III,III
3162,Animalia,Chordata,Mammalia,Primates,Cebidae,Saguinus,pileatus,A,II,II
3164,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Augastes,lumachella,A,II,II
3165,Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Favites,pentagona,A,II,II
3167,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,geoffroyi,A,I,I
3169,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Harpyhaliaetus,coronatus,A,II,II
3170,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Limnonectes,macrodon,A,NC,NC
3171,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Boissonneaua,jardini,A,II,II
3173,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Calumma,guibei,A,II,II
3174,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Buteo,platypterus,A,II,II
3176,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Lepidopora,polystichopora,A,II,II
3179,Animalia,Cnidaria,Anthozoa,Antipatharia,Cladopathidae,Cladopathes,plumosa,A,II,II
3181,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Garrulax,formosus,A,NC,NC
3182,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Stylaster,papuensis,A,II,II
3184,Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,choliba,A,II,II
3185,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Bradypodion,setaroi,A,II,II
3188,Animalia,Chordata,Mammalia,Cetacea,Ziphiidae,Mesoplodon,hectori,A,II,II
3189,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Lophocebus,albigena,A,II,II
3190,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Caryophyllia,aspera,A,II,II
3191,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Errina,dabneyi,A,II,II
3193,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Bradypodion,gutturale,A,II,II
3194,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nimbaphrynoides,occidentalis,A,I,I
3197,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,narinensis,A,II,II
3198,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,pelewensis,A,I,I
3199,Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,pseudogeographica,A,III,III
3200,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Flabellum,lamellulosum,A,II,II
3202,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Crispatotrochus,cornu,A,II,II
3203,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Tylototriton,asperrimus,A,NC,NC
3204,Animalia,Chordata,Reptilia,Sauria,Varanidae,Varanus,dumerilii,A,II,II
3205,Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,splendidula,A,II,II
3207,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Colibri,coruscans,A,II,II
3210,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,versicolor,A,II,II
3211,Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,Bostrychia,rara,A,NC,NC
3212,Animalia,Chordata,Reptilia,Sauria,Gekkonidae,Naultinus,manukanus,A,II,II
3213,Animalia,Annelida,Hirudinoidea,Arhynchobdellida,Hirudinidae,Hirudo,medicinalis,A,II,II
3214,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Stenohelia,profunda,A,II,II
3215,Animalia,Cnidaria,Anthozoa,Scleractinia,Meandriniidae,Ctenella,chagius,A,II,II
3216,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Flabellum,daphnense,A,II,II
3217,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinellidae,Achatinella,sowerbyana,A,I,I
3218,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,porcinus,A,I/III,III
3219,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,devillei,A,II,II
3220,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,sasin,A,II,II
3223,Animalia,Chordata,Aves,Galliformes,Phasianidae,Syrmaticus,humiae,A,I,I
3224,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,acuticaudata,A,II,II
3226,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Potamilus,capax,A,I,I
3227,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,mordax,A,II,II
3228,Animalia,Chordata,Aves,Falconiformes,Falconidae,Phalcoboenus,carunculatus,A,II,II
3229,Animalia,Cnidaria,Anthozoa,Antipatharia,Antipathidae,Antipathes,gallensis,A,II,II
